date,ticker,rsi,volatility,ma_spread,regime_id,sentiment,confidence,rag_signal,direction,probabilite,amplitude_predite
2026-02-24,TSLA,43.51011925847208,0.0216272858629318,-0.056750959374656,2,bearish,0.8,sell,baisse,0.199,-0.0005
2026-02-25,TSLA,56.39958505156849,0.0196570455720231,-0.0572632020691014,2,bearish,0.8,sell,baisse,0.157,0.0003
2026-02-26,TSLA,56.38691937408285,0.0196068254444404,-0.0595920634323577,2,bearish,0.8,sell,baisse,0.142,0.0003
2026-02-27,TSLA,44.70314340857094,0.0176180941634945,-0.0597910045725288,2,bearish,0.8,sell,baisse,0.022,-0.0002
2026-03-02,TSLA,40.76273036190208,0.0170137193161546,-0.0592944891883409,2,bearish,0.8,sell,baisse,0.022,-0.0001
2026-03-03,TSLA,29.195227667411928,0.0170361676330219,-0.0602465108527109,2,bearish,0.8,sell,baisse,0.03,-0.0009
2026-03-04,TSLA,37.487401197514735,0.0199176224061039,-0.0581199908404846,2,bearish,0.8,sell,baisse,0.203,0.0003
2026-03-05,TSLA,42.65492662865399,0.0188353295224452,-0.0562377879223551,2,bearish,0.8,sell,baisse,0.154,0.0004
2026-03-06,TSLA,38.07989792581002,0.0195419993267914,-0.0557062046816497,2,bearish,0.8,sell,baisse,0.203,0.0003
2026-03-09,TSLA,42.7142965589305,0.0192891404159765,-0.0521267885190156,2,bearish,0.8,sell,baisse,0.242,0.0004
2026-03-10,TSLA,42.62334124971486,0.0192853058372591,-0.0506678904338974,2,bearish,0.8,sell,baisse,0.231,0.0008
2026-03-11,TSLA,47.84057816335558,0.0202790404951189,-0.0499090763493137,2,bearish,0.8,sell,baisse,0.098,0.0006
2026-03-12,TSLA,41.82154599402298,0.021891601095053,-0.0502146163119188,2,bearish,0.8,sell,baisse,0.19,-0.0003
2026-03-13,TSLA,45.43822037247647,0.0206723764278056,-0.0500479708761573,2,bearish,0.8,sell,baisse,0.194,-0.0002
2026-03-16,TSLA,42.27068624981141,0.0197347807062312,-0.0494449905934467,2,bearish,0.8,sell,baisse,0.194,0.0008
2026-03-17,TSLA,39.34656706696872,0.0190412232606982,-0.0460503370321433,2,bearish,0.8,sell,baisse,0.206,0.0007
2026-03-18,TSLA,40.45432722268482,0.0187260252166211,-0.0465111482486501,2,bearish,0.8,sell,baisse,0.206,0.0009
2026-03-19,TSLA,37.54624524542411,0.02007173569042,-0.0501620188300825,2,bearish,0.8,sell,baisse,0.194,0.0007
2026-03-20,TSLA,32.44288863021505,0.0213675436218208,-0.0541873424564816,2,bearish,0.8,sell,baisse,0.139,-0.0005
2026-03-23,TSLA,44.36222559061328,0.0231097629747993,-0.0559825516984519,2,bearish,0.8,sell,baisse,0.199,-0.0007
2026-03-24,TSLA,37.463055412956045,0.0207977003234448,-0.0570742059465483,2,bearish,0.8,sell,baisse,0.203,-0.0006
2026-03-25,TSLA,39.56337421195394,0.0210176487111202,-0.0595001418495292,2,bearish,0.8,sell,baisse,0.182,-0.0006
2026-03-26,TSLA,37.55558921716501,0.0222701427599879,-0.0616395670045108,2,bearish,0.8,sell,baisse,0.199,-0.0008
2026-03-27,TSLA,32.820514863407894,0.0229192577611541,-0.0652735561613156,2,bearish,0.8,sell,baisse,0.153,-0.0008
2026-03-30,TSLA,30.58990489264818,0.022984218924643,-0.0713450698309931,2,bearish,0.8,sell,baisse,0.087,-0.0014
2026-03-31,TSLA,35.111035304954044,0.0261813785740852,-0.0751187504004405,0,bearish,0.8,sell,baisse,0.142,-0.0006
2026-04-01,TSLA,44.16532376910553,0.0264024307152718,-0.0762283529760482,0,bearish,0.8,sell,baisse,0.123,-0.0005
2026-04-02,TSLA,38.636866738884095,0.0298328119661901,-0.0778691165030111,0,bearish,0.8,sell,baisse,0.406,-0.0005
2026-04-06,TSLA,34.525713649287056,0.0297184045865202,-0.077205557074333,0,bearish,0.8,sell,baisse,0.287,-0.0005
2026-02-23,NVDA,55.81896790129807,0.0282077645965785,0.0169165309007539,0,bullish,0.7,buy,baisse,0.455,-0.002
2026-02-24,NVDA,63.28873777317855,0.0267631197219328,0.0174380089736062,0,bullish,0.7,buy,hausse,0.521,-0.0003
2026-02-25,NVDA,74.49002860960134,0.024316211251284,0.0196186218896694,2,bearish,0.7,sell,baisse,0.228,-0.0015
2026-02-26,NVDA,62.51202293140271,0.0291855844660292,0.0157540644984063,0,bullish,0.7,buy,hausse,0.628,-0.0002
2026-02-27,NVDA,41.0961938210419,0.0230857559383368,0.0104029286925128,2,bearish,0.7,sell,baisse,0.226,-0.0019
2026-03-02,NVDA,41.92652629678311,0.0235723522446713,0.0097072938749358,2,bearish,0.7,sell,baisse,0.226,-0.0018
2026-03-03,NVDA,41.10994857425544,0.0237096143788485,0.0060710658384765,2,bearish,0.7,sell,baisse,0.226,-0.0011
2026-03-04,NVDA,42.88034160746573,0.0241249632552337,0.0024538407891584,2,bearish,0.7,sell,baisse,0.226,-0.002
2026-03-05,NVDA,46.12235384924391,0.0238013668910653,-0.0002492866559586,2,bearish,0.7,sell,baisse,0.226,-0.002
2026-03-06,NVDA,44.78141957031097,0.0244326791516172,-0.0060696917867562,2,bearish,0.7,sell,baisse,0.178,-0.002
2026-03-09,NVDA,47.70204656848674,0.0254100782826634,-0.0101563016436414,2,bearish,0.7,sell,baisse,0.189,-0.0024
2026-03-10,NVDA,46.76347610525354,0.0252015450910345,-0.0140959557518047,2,bearish,0.7,sell,baisse,0.222,-0.0008
2026-03-11,NVDA,48.16863697284042,0.0252881349324418,-0.0187455063363635,2,bearish,0.7,sell,baisse,0.175,-0.0034
2026-03-12,NVDA,43.55548111706488,0.0253921324664794,-0.0191469334366192,2,bearish,0.7,sell,baisse,0.222,-0.0011
2026-03-13,NVDA,39.33076729623593,0.025406923969957,-0.0167216738533537,2,bearish,0.7,sell,baisse,0.222,-0.0012
2026-03-16,NVDA,41.18724757422429,0.0258522582209235,-0.0159703082704431,2,bearish,0.7,sell,baisse,0.222,-0.0009
2026-03-17,NVDA,37.18961554006261,0.0253712302374538,-0.0142161002033253,2,bearish,0.7,sell,baisse,0.222,-0.0012
2026-03-18,NVDA,44.911211692525946,0.0210430779253698,-0.0148158258751989,2,bearish,0.7,sell,baisse,0.212,-0.0001
2026-03-19,NVDA,51.80768323356406,0.0178726981447649,-0.0164715668047355,2,bearish,0.7,sell,baisse,0.075,0.0004
2026-03-20,NVDA,37.3865559296258,0.0178579792009054,-0.0174924427396195,2,bearish,0.7,sell,baisse,0.079,0.0002
2026-03-23,NVDA,44.39303197998738,0.0184423407117813,-0.0202879113082078,2,bearish,0.7,sell,baisse,0.132,0.0002
2026-03-24,NVDA,39.32919132732314,0.0176820923331777,-0.0244511601979125,2,bearish,0.7,sell,baisse,0.078,0.0002
2026-03-25,NVDA,44.16834170469628,0.0186897779568101,-0.0277814320482377,2,bearish,0.7,sell,baisse,0.132,0.0002
2026-03-26,NVDA,42.13874782562974,0.0202299461370938,-0.0327156832296194,2,bearish,0.7,sell,baisse,0.234,0.0028
2026-03-27,NVDA,31.415751780665914,0.0188920427024141,-0.0380077981146034,2,bearish,0.7,sell,baisse,0.261,0.0014
2026-03-30,NVDA,26.057177768486326,0.0182883611872654,-0.0455700053162448,2,bearish,0.7,sell,baisse,0.072,-0.001
2026-03-31,NVDA,38.101078325336026,0.0248351856435863,-0.0484548430303294,2,bearish,0.7,sell,baisse,0.172,-0.0013
2026-04-01,NVDA,42.1931131378072,0.0248054858020804,-0.0507585456839882,0,bullish,0.7,buy,baisse,0.43,-0.0022
2026-04-02,NVDA,46.89670084992909,0.0246909717032262,-0.050783774632315,0,bullish,0.7,buy,baisse,0.43,-0.0019
2026-04-06,NVDA,43.56549613409998,0.0242006307542223,-0.0473290057190365,2,bearish,0.7,sell,baisse,0.172,-0.0005
